sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
755,8,"then",27,31,"RB","RB",3,"then"
755,9,"find",31,35,"VBP","VB",3,"find"
755,10,",",35,36,",",",",4,","
756,0,"When",0,4,"WRB","RB",3,"When"
756,1,"swift",4,9,"JJ","JJ",2,"swift"
756,2,"extremity",9,18,"NN","NN",2,"extrem"
756,3,"can",18,21,"MD","MD",2,"can"
756,4,"seem",21,25,"VB","VB",1,"seem"
756,5,"but",25,28,"CC","CC",1,"but"
756,6,"slow",28,32,"VB","VB",1,"slow"
756,7,"?",32,33,".",".",4,"?"
757,0,"Then",0,4,"RB","RB",6,"Then"
757,1,"should",4,10,"MD","MD",7,"should"
757,2,"I",10,11,"PRP","WP",5,"I"
757,3,"spur",11,15,"JJ","JJ",4,"spur"
757,4,",",15,16,",",",",4,","
757,5,"though",16,22,"IN","IN",4,"though"
757,6,"mounted",22,29,"JJ","JJ",3,"mount"
757,7,"on",29,31,"IN","IN",2,"on"
757,8,"the",31,34,"DT","DT",1,"the"
757,9,"wind",34,38,"NN","NN",1,"wind"
757,10,",",38,39,",",",",4,","
758,0,"In",0,2,"IN","IN",3,"In"
758,1,"winged",2,8,"JJ","JJ",2,"wing"
758,2,"speed",8,13,"NN","NN",2,"speed"
758,3,"no",13,15,"DT","DT",3,"no"
758,4,"motion",15,21,"NN","NN",3,"motion"
758,5,"shall",21,26,"VBZ","VB",3,"shall"
758,6,"I",26,27,"PRP","WP",1,"I"
758,7,"know",27,31,"VB","VB",1,"know"
758,8,",",31,32,",",",",2,","
759,0,"Then",0,4,"NNP","NN",5,"Then"
759,1,"can",4,7,"MD","MD",5,"can"
759,2,"no",7,9,"RB","RB",4,"no"
759,3,"horse",9,14,"NN","NN",2,"hors"
759,4,"with",14,18,"IN","IN",2,"with"
759,5,"my",18,20,"PRP$","WP",1,"my"
759,6,"desire",20,26,"NN","NN",1,"desir"
759,7,"keep",26,30,"VB","VB",4,"keep"
759,8,"pace",30,34,"NN","NN",3,"pace"
759,9,";",34,35,":",":",6,";"
760,0,"Therefore",0,9,"VB","VB",6,"Therefor"
760,1,"desire",9,15,"NN","NN",4,"desir"
760,2,",",15,16,",",",",5,","
760,3,"of",16,18,"IN","IN",4,"of"
760,4,"perfect",18,25,"JJ","JJ",2,"perfect"
760,5,"`",25,26,"``","``",2,"`"
760,6,"st",26,28,"NN","NN",2,"st"
760,7,"love",28,32,"NN","NN",2,"love"
760,8,"being",32,37,"VBG","VB",2,"be"
760,9,"made",37,41,"VBN","VB",1,"made"
760,10,",",41,42,",",",",5,","
761,0,"Shall",0,5,"JJ","JJ",2,"Shall"
761,1,"neigh",5,10,"NN","NN",2,"neigh"
761,2,"--",10,12,":",":",2,"--"
761,3,"no",12,14,"DT","DT",1,"no"
