sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
1415,6,"though",21,27,"IN","IN",5,"though"
1415,7,"more",27,31,"RBR","RB",3,"more"
1415,8,"weak",31,35,"JJ","JJ",3,"weak"
1415,9,"in",35,37,"IN","IN",2,"in"
1415,10,"seeming",37,44,"NNP","NN",1,"seem"
1415,11,";",44,45,":",":",8,";"
1416,0,"I",0,1,"PRP","WP",3,"I"
1416,1,"love",1,5,"VBP","VB",3,"love"
1416,2,"not",5,8,"RB","RB",1,"not"
1416,3,"less",8,12,"JJR","JJ",1,"less"
1416,4,",",12,13,",",",",2,","
1416,5,"though",13,19,"IN","IN",2,"though"
1416,6,"less",19,23,"JJR","JJ",1,"less"
1416,7,"the",23,26,"DT","DT",5,"the"
1416,8,"show",26,30,"NN","NN",5,"show"
1416,9,"appear",30,36,"VBP","VB",5,"appear"
1416,10,";",36,37,":",":",6,";"
1417,0,"That",0,4,"DT","DT",5,"That"
1417,1,"love",4,8,"NN","NN",5,"love"
1417,2,"is",8,10,"VBZ","VB",5,"is"
1417,3,"merchandiz",10,20,"NNP","NN",3,"merchandiz"
1417,4,"'d",20,22,"NNP","NN",3,"'d"
1417,5,",",22,23,",",",",4,","
1417,6,"whose",23,28,"WP$","WP",2,"whose"
1417,7,"rich",28,32,"NNS","NN",2,"rich"
1417,8,"esteeming",32,41,"VBG","VB",1,"esteem"
1417,9,",",41,42,",",",",4,","
1418,0,"The",0,3,"DT","DT",3,"The"
1418,1,"owner",3,8,"NN","NN",3,"owner"
1418,2,"'s",8,10,"POS","POS",3,"'s"
1418,3,"tongue",10,16,"NN","NN",4,"tongu"
1418,4,"doth",16,20,"VBP","VB",4,"doth"
1418,5,"publish",20,27,"RB","RB",2,"publish"
1418,6,"every",27,32,"DT","DT",2,"everi"
1418,7,"where",32,37,"WRB","RB",1,"where"
1418,8,".",37,38,".",".",5,"."
1419,0,"Our",0,3,"PRP$","WP",4,"Our"
1419,1,"love",3,7,"NN","NN",4,"love"
1419,2,"was",7,10,"VBD","VB",4,"wa"
1419,3,"new",10,13,"JJ","JJ",3,"new"
1419,4,",",13,14,",",",",3,","
1419,5,"and",14,17,"CC","CC",3,"and"
1419,6,"then",17,21,"RB","RB",2,"then"
1419,7,"but",21,24,"RB","RB",2,"but"
1419,8,"in",24,26,"IN","IN",2,"in"
1419,9,"the",26,29,"DT","DT",1,"the"
1419,10,"spring",29,35,"NN","NN",1,"spring"
1419,11,",",35,36,",",",",3,","
1420,0,"When",0,4,"WRB","RB",9,"When"
1420,1,"I",4,5,"PRP","WP",8,"I"
1420,2,"was",5,8,"VBD","VB",8,"wa"
1420,3,"wont",8,12,"JJ","JJ",7,"wont"
1420,4,"to",12,14,"TO","TO",5,"to"
1420,5,"greet",14,19,"VB","VB",4,"greet"
1420,6,"it",19,21,"PRP","WP",3,"it"
1420,7,"with",21,25,"IN","IN",3,"with"
1420,8,"my",25,27,"PRP$","WP",1,"my"
1420,9,"lays",27,31,"NN","NN",1,"lai"
1420,10,";",31,32,":",":",2,";"
1421,0,"As",0,2,"IN","IN",5,"As"
1421,1,"Philomel",2,10,"NNP","NN",3,"Philomel"
1421,2,"in",10,12,"IN","IN",3,"in"
1421,3,"summer",12,18,"NN","NN",1,"summer"
1421,4,"'s",18,20,"POS","POS",1,"'s"
1421,5,"front",20,25,"JJ","JJ",2,"front"
1421,6,"doth",25,29,"NN","NN",2,"doth"
1421,7,"sing",29,33,"NN","NN",2,"sing"
1421,8,",",33,34,",",",",6,","
1422,0,"And",0,3,"CC","CC",5,"And"
1422,1,"stops",3,8,"VBZ","VB",3,"stop"
1422,2,"her",8,11,"PRP$","WP",2,"her"
1422,3,"pipe",11,15,"NN","NN",2,"pipe"
1422,4,"in",15,17,"IN","IN",2,"in"
1422,5,"growth",17,23,"NN","NN",1,"growth"
1422,6,"of",23,25,"IN","IN",2,"of"
1422,7,"riper",25,30,"NN","NN",1,"riper"
1422,8,"days",30,34,"NNS","NN",1,"dai"
1422,9,":",34,35,":",":",3,":"
1423,0,"Not",0,3,"RB","RB",4,"Not"
1423,1,"that",3,7,"IN","IN",4,"that"
1423,2,"the",7,10,"DT","DT",2,"the"
1423,3,"summer",10,16,"NN","NN",2,"summer"
1423,4,"is",16,18,"VBZ","VB",2,"is"
1423,5,"less",18,22,"RBR","RB",1,"less"
1423,6,"pleasant",22,30,"JJ","JJ",1,"pleasant"
1423,7,"now",30,33,"RB","RB",1,"now"
1424,0,"Than",0,4,"IN","IN",5,"Than"
1424,1,"when",4,8,"WRB","RB",3,"when"
1424,2,"her",8,11,"PRP$","WP",2,"her"
1424,3,"mournful",11,19,"JJ","JJ",2,"mourn"
1424,4,"hymns",19,24,"NNS","NN",2,"hymn"
1424,5,"did",24,27,"VBD","VB",2,"did"
1424,6,"hush",27,31,"NN","NN",1,"hush"
1424,7,"the",31,34,"DT","DT",1,"the"
1424,8,"night",34,39,"NN","NN",1,"night"
1424,9,",",39,40,",",",",3,","
1425,0,"But",0,3,"CC","CC",3,"But"
1425,1,"that",3,7,"RB","RB",2,"that"
1425,2,"wild",7,11,"JJ","JJ",1,"wild"
1425,3,"music",11,16,"NN","NN",1,"music"
1425,4,"burthens",16,24,"VBZ","VB",2,"burthen"
